timestamp_ms,dt_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll_deg,pitch_deg,yaw_deg,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,raw_baro_alt,raw_tof,raw_flow_squal,raw_flow_dx,raw_flow_dy,dev_pos_x,dev_pos_y,dev_pos_z,dev_vel_x,dev_vel_y,dev_vel_z,dev_roll_deg,dev_pitch_deg,dev_yaw_deg
15047,11.0,0.003062,0.002519,-0.032102,0.004575,-0.003416,-0.010211,-1.0994,-0.9876,-0.0083,-0.00211282,-0.00142126,-0.00183923,-0.00027581,0.00015556,0.06571297,-0.1594,0.1886,-9.7491,-0.003454,-0.001546,-0.002505,36.4819,0.0320,91,0,0,0.003693,0.003671,-0.030940,0.001788,0.000771,-0.003835,-1.0403,-0.9341,0.1131
15058,11.0,0.003044,0.002553,-0.032215,0.004495,-0.003259,-0.010188,-1.0995,-0.9864,-0.0088,-0.00211776,-0.00142918,-0.00183903,-0.00028744,0.00014194,0.06571279,-0.1536,0.1747,-9.7204,-0.002648,-0.001725,-0.000685,36.4819,0.0320,90,-1,1,0.003709,0.003685,-0.030991,0.001776,0.000667,-0.003462,-1.0418,-0.9343,0.1119
15069,11.0,0.003052,0.002559,-0.030503,0.004518,-0.003157,0.010874,-1.0999,-0.9865,-0.0087,-0.00211925,-0.00143050,-0.00183903,-0.00034461,0.00020789,0.06148340,-0.1527,0.1958,-9.7464,-0.003181,-0.003400,-0.000310,36.4819,0.0290,93,0,0,0.003693,0.003714,-0.029845,0.001652,0.000703,0.009711,-1.0420,-0.9348,0.1125
15080,11.0,0.003060,0.002565,-0.030383,0.004496,-0.003104,0.010953,-1.0996,-0.9856,-0.0085,-0.00212368,-0.00143641,-0.00183894,-0.00036124,0.00021339,0.06148369,-0.1660,0.1668,-9.7379,-0.001529,0.000196,-0.001459,36.4819,0.0290,91,0,0,0.003700,0.003719,-0.029729,0.001709,0.000827,0.009944,-1.0425,-0.9354,0.1128
15091,11.0,0.003068,0.002571,-0.030238,0.004539,-0.003111,0.011387,-1.0996,-0.9853,-0.0079,-0.00212573,-0.00143851,-0.00183896,-0.00034766,0.00020026,0.06142687,-0.1475,0.1737,-9.7227,-0.003114,-0.000844,-0.001185,36.4819,0.0290,90,0,0,0.003714,0.003732,-0.029499,0.001826,0.000776,0.010391,-1.0422,-0.9341,0.1699
15102,11.0,0.003077,0.002551,-0.031130,0.004502,-0.003156,-0.000214,-1.0987,-0.9844,-0.0072,-0.00213043,-0.00144417,-0.00183911,-0.00032018,0.00018083,0.06377324,-0.1712,0.1732,-9.7193,-0.000240,-0.001528,-0.000906,36.4819,0.0320,99,1,0,0.003721,0.003739,-0.030931,0.001851,0.000695,-0.006336,-1.0422,-0.9333,0.1709
15113,11.0,0.003086,0.002558,-0.031113,0.004518,-0.003178,0.000141,-1.0981,-0.9838,-0.0070,-0.00213254,-0.00144621,-0.00183913,-0.00030676,0.00016699,0.06372882,-0.1449,0.1900,-9.7451,-0.001853,-0.001727,-0.002270,36.4819,0.0320,99,0,0,0.003730,0.003722,-0.030993,0.001737,0.000526,-0.006127,-1.0415,-0.9333,0.1717
15124,11.0,0.003095,0.002565,-0.031111,0.004516,-0.003153,0.000286,-1.0973,-0.9824,-0.0073,-0.00213843,-0.00145283,-0.00183906,-0.00033057,0.00018422,0.06372943,-0.1561,0.1706,-9.7340,-0.004545,0.000213,-0.004216,36.4819,0.0320,94,0,0,0.003744,0.003735,-0.031087,0.001969,0.000689,-0.005694,-1.0411,-0.9325,0.1704
15135,11.0,0.003103,0.002572,-0.029945,0.004521,-0.003136,0.013859,-1.0970,-0.9820,-0.0075,-0.00214021,-0.00145447,-0.00183906,-0.00036160,0.00022140,0.06107056,-0.1605,0.1849,-9.7156,-0.001239,-0.002028,-0.001360,36.4819,0.0290,96,0,0,0.003752,0.003742,-0.031105,0.001984,0.000714,-0.005168,-1.0417,-0.9319,0.1692
15146,11.0,0.003111,0.002578,-0.029792,0.004517,-0.003068,0.014009,-1.0968,-0.9808,-0.0080,-0.00214389,-0.00146097,-0.00183887,-0.00038413,0.00022206,0.06107086,-0.1581,0.1858,-9.7347,-0.003740,-0.001269,-0.000643,36.4819,0.0290,91,0,0,0.003759,0.003748,-0.029761,0.001860,0.000732,0.009750,-1.0412,-0.9317,0.1693
15157,11.0,0.003069,0.002584,-0.029571,0.004374,-0.003000,0.014974,-1.0971,-0.9801,-0.0085,-0.00214582,-0.00146540,-0.00183912,-0.00035603,0.00021115,0.06091518,-0.1628,0.1964,-9.7336,-0.002721,-0.002202,-0.006167,36.3656,0.0290,80,0,2,0.003774,0.003760,-0.029490,0.001632,0.000826,0.010935,-1.0403,-0.9314,0.1715
15168,11.0,0.003079,0.002591,-0.031349,0.004329,-0.002911,-0.007231,-1.0970,-0.9797,-0.0088,-0.00214900,-0.00147069,-0.00183903,-0.00029010,0.00011958,0.06533319,-0.1577,0.1742,-9.7179,-0.003098,-0.003514,-0.000230,36.3656,0.0330,90,0,0,0.003736,0.003766,-0.029380,0.001506,0.000922,0.011076,-1.0413,-0.9309,0.1695
15179,11.0,0.003088,0.002598,-0.031376,0.004324,-0.002879,-0.006499,-1.0973,-0.9796,-0.0089,-0.00215089,-0.00147255,-0.00183905,-0.00027902,0.00010853,0.06521233,-0.1580,0.1688,-9.7371,-0.002909,-0.000209,-0.001045,36.3656,0.0330,90,0,0,0.003744,0.003773,-0.031524,0.001525,0.000990,-0.012516,-1.0411,-0.9316,0.1703
15190,11.0,0.003098,0.002605,-0.031447,0.004293,-0.002827,-0.006348,-1.0974,-0.9793,-0.0095,-0.00215491,-0.00147734,-0.00183899,-0.00029092,0.00011389,0.06521256,-0.1571,0.1865,-9.7237,-0.004904,-0.003166,-0.003090,36.3656,0.0330,87,0,0,0.003760,0.003787,-0.031711,0.001587,0.000953,-0.011686,-1.0414,-0.9318,0.1038
15201,11.0,0.003106,0.002611,-0.030107,0.004300,-0.002819,0.010065,-1.0980,-0.9793,-0.0093,-0.00215647,-0.00147877,-0.00183899,-0.00033174,0.00016293,0.06203107,-0.1596,0.1892,-9.7318,-0.002789,0.000081,-0.001901,36.3656,0.0290,88,0,0,0.003768,0.003794,-0.031741,0.001567,0.000967,-0.010552,-1.0427,-0.9321,0.1029
15212,11.0,0.003114,0.002617,-0.029995,0.004279,-0.002784,0.010262,-1.0984,-0.9779,-0.0098,-0.00216107,-0.00148398,-0.00183895,-0.00034697,0.00017432,0.06203145,-0.1548,0.1740,-9.7160,-0.005496,0.000632,-0.003638,36.3656,0.0290,86,0,0,0.003782,0.003806,-0.030015,0.001507,0.001039,0.008653,-1.0437,-0.9307,0.1028
15223,11.0,0.003122,0.002624,-0.029815,0.004278,-0.002788,0.011292,-1.0993,-0.9772,-0.0104,-0.00216285,-0.00148583,-0.00183898,-0.00033640,0.00016461,0.06187794,-0.1613,0.1646,-9.7199,-0.002885,-0.000696,-0.002416,36.3656,0.0290,95,0,0,0.003789,0.003813,-0.029926,0.001503,0.000938,0.009023,-1.0435,-0.9298,0.1023
15234,11.0,0.003132,0.002603,-0.031479,0.004279,-0.002864,-0.009130,-1.0992,-0.9757,-0.0106,-0.00216819,-0.00149252,-0.00183912,-0.00029267,0.00012200,0.06589276,-0.1400,0.1697,-9.7332,-0.003107,-0.003669,-0.001695,36.4000,0.0330,93,1,0,0.003796,0.003821,-0.029835,0.001478,0.000770,0.009261,-1.0421,-0.9290,0.1025
15245,11.0,0.003169,0.002611,-0.031537,0.004441,-0.002938,-0.008464,-1.1002,-0.9753,-0.0109,-0.00217008,-0.00149303,-0.00183901,-0.00029046,0.00011054,0.06579597,-0.1428,0.1789,-9.7356,-0.004921,-0.000032,-0.001066,36.4000,0.0330,91,0,-1,0.003837,0.003809,-0.031747,0.001677,0.000597,-0.011171,-1.0425,-0.9288,0.1021
15256,11.0,0.003206,0.002646,-0.031629,0.004540,-0.002884,-0.008331,-1.0997,-0.9743,-0.0109,-0.00217844,-0.00149891,-0.00183875,-0.00033213,0.00013283,0.06579696,-0.1578,0.1765,-9.7294,-0.003624,-0.002481,-0.000330,36.4000,0.0330,93,-1,-1,0.003871,0.003843,-0.031803,0.001784,0.000656,-0.010468,-1.0433,-0.9278,0.1018
15267,11.0,0.003214,0.002653,-0.030750,0.004618,-0.002906,0.002956,-1.1004,-0.9744,-0.0102,-0.00218005,-0.00150060,-0.00183877,-0.00035438,0.00016153,0.06363425,-0.1595,0.1837,-9.7327,-0.003045,-0.002241,0.000351,36.4000,0.0300,93,0,0,0.003913,0.003909,-0.032010,0.001852,0.000747,-0.010147,-1.0442,-0.9273,0.1023
15278,11.0,0.003223,0.002659,-0.030717,0.004594,-0.002873,0.003106,-1.1009,-0.9735,-0.0096,-0.00218468,-0.00150598,-0.00183873,-0.00036999,0.00017352,0.06363464,-0.1643,0.1796,-9.7220,-0.005309,-0.001198,-0.002292,36.4000,0.0300,91,0,0,0.003920,0.003915,-0.030706,0.001836,0.000795,0.004702,-1.0450,-0.9273,0.1020
15289,11.0,0.003258,0.002666,-0.030628,0.004641,-0.002878,0.003930,-1.1014,-0.9736,-0.0093,-0.00218646,-0.00150674,-0.00183866,-0.00036638,0.00016315,0.06351132,-0.1528,0.1753,-9.7224,-0.001742,-0.001840,-0.002641,36.4000,0.0300,92,0,-1,0.003928,0.003921,-0.030659,0.001806,0.000772,0.004893,-1.0457,-0.9272,0.0736
15300,11.0,0.003267,0.002673,-0.031346,0.004608,-0.002831,-0.004595,-1.1011,-0.9727,-0.0095,-0.00219081,-0.00151217,-0.00183862,-0.00035242,0.00013902,0.06520053,-0.1495,0.1858,-9.6981,-0.001203,-0.000910,-0.003754,36.4000,0.0320,95,0,0,0.003990,0.003936,-0.030491,0.001781,0.000502,0.005984,-1.0454,-0.9252,0.0722
15311,11.0,0.003221,0.002652,-0.031353,0.004507,-0.002892,-0.003851,-1.1013,-0.9720,-0.0097,-0.00219132,-0.00151663,-0.00183901,-0.00032240,0.00013660,0.06510478,-0.1449,0.1793,-9.7357,-0.002235,-0.001660,-0.001853,36.4000,0.0320,89,1,2,0.003997,0.003944,-0.031376,0.001779,0.000509,-0.003698,-1.0451,-0.9241,0.0710
15322,11.0,0.003202,0.002632,-0.031394,0.004440,-0.002962,-0.003605,-1.0998,-0.9706,-0.0103,-0.00219598,-0.00152415,-0.00183921,-0.00033897,0.00016878,0.06510555,-0.1621,0.1607,-9.7229,-0.000003,-0.000735,-0.004180,36.4000,0.0320,91,1,1,0.003955,0.003926,-0.031368,0.001717,0.000433,-0.003114,-1.0447,-0.9235,0.0707
15333,11.0,0.003210,0.002613,-0.030619,0.004495,-0.003091,0.006033,-1.0990,-0.9706,-0.0104,-0.00219643,-0.00152575,-0.00183932,-0.00035500,0.00019793,0.06331382,-0.1498,0.1662,-9.7221,-0.000588,-0.004106,0.001419,36.4000,0.0300,92,1,0,0.003946,0.003890,-0.031359,0.001532,0.000060,-0.002106,-1.0434,-0.9241,0.0708
15344,11.0,0.003219,0.002620,-0.030551,0.004498,-0.003137,0.006232,-1.0968,-0.9697,-0.0100,-0.00220432,-0.00153196,-0.00183943,-0.00038017,0.00023775,0.06331486,-0.1521,0.1681,-9.7228,-0.001100,-0.001137,-0.001484,36.4000,0.0300,95,0,0,0.003953,0.003872,-0.030553,0.001592,-0.000016,0.007034,-1.0427,-0.9247,0.0716
